31,Индометацин-Софарма 25 мг № 30 табл,15-Apr-22,246,24,https://st.europharma.kz/cache/product/2306/160x160_5fb2539f33274.png,1
32,Сиалис 20 мг № 2 табл,15-Apr-22,15597,14,https://st.europharma.kz/cache/product/3842/160x160_974.jpeg,1
33,Линкас Лор № 16 табл.д/рассасыв-я мёд-лимон,15-Apr-22,540,38,https://st.europharma.kz/cache/product/4354/160x160_6010ef3f6151a.jpg,1
34,Капсикам д/наруж применения 30 гр мазь,15-Apr-22,3395,70,https://st.europharma.kz/cache/product/4866/160x160_60c3362283fd9.jpg,1
35,"Пиколакс 7,5  мг № 10 табл",15-Apr-22,1852,85,https://st.europharma.kz/cache/product/5378/160x160_5f3a5512e4787.png,1
36,Сиспрес 500 мг № 10 табл п/плён оболоч,15-Apr-22,1174,51,https://st.europharma.kz/cache/product/6914/160x160_6184.jpeg,1
37,Тригрим 5 мг № 30 табл.,15-Apr-22,3175,50,https://st.europharma.kz/cache/product/7682/160x160_60e52b1271d5a.jpg,1
38,Аджисепт со вкусом лимона № 24 леденцы,15-Apr-22,912,85,https://st.europharma.kz/cache/product/8194/160x160_5f50728d1f0ae.png,1
39,Сертоцеф порошок д/приготовления р-р для инъекций растворителем 100 мг №1,15-Apr-22,2330,74,https://st.europharma.kz/cache/product/9730/160x160_5fae6ade02ff3.png,1
40,Фитолизин nefro CAPS  № 30 капс,15-Apr-22,2570,34,https://st.europharma.kz/cache/product/17666/160x160_5cd3b90b3f4bf.jpg,1
41,Аденурик 80 мг № 28 табл п/плён оболоч,15-Apr-22,13077,68,https://st.europharma.kz/cache/product/19202/160x160_5f57257ad7835.png,1
42,Аксафлокс (Офлоксацин) 100 мл,15-Apr-22,1561,51,https://st.europharma.kz/cache/product/27906/160x160_5fb4e3f7eeb48.jpg,1
43,Кардиомагнил 75 мг № 100 табл п/плён оболоч,15-Apr-22,1655,17,https://st.europharma.kz/cache/product/31490/160x160_606aa588a7df7.png,1
44,Карсил № 80 табл,15-Apr-22,2817,65,https://st.europharma.kz/cache/product/2307/160x160_5f4f35ab32513.png,1
45,Сиалис 20 мг № 4 табл,15-Apr-22,29056,40,https://st.europharma.kz/cache/product/3843/160x160_2693.jpeg,1
46,Линкас Лор № 16 табл.д/рассасыв-я апельсин,15-Apr-22,540,43,https://st.europharma.kz/cache/product/4355/160x160_6010ef08c010f.jpg,1
47,Капсикам д/наруж применения 50 гр мазь,15-Apr-22,3780,23,https://st.europharma.kz/cache/product/4867/160x160_60c3361b13c1a.jpg,1
48,Эвказолин Аква 1 мг/г 10 мл спрей назальный,15-Apr-22,1606,43,https://st.europharma.kz/cache/product/5379/160x160_2678.jpeg,1
49,Пантап 40 мг № 14 табл,15-Apr-22,3027,53,https://st.europharma.kz/cache/product/6915/160x160_5f3a46fe18a83.png,1
50,Тригрим 10 мг № 30 табл.,15-Apr-22,3366,10,https://st.europharma.kz/cache/product/7683/160x160_60e2889fdd11f.jpg,1
51,Аджисепт классический № 24 леденцы,15-Apr-22,915,49,https://st.europharma.kz/cache/product/8195/160x160_4095.jpeg,1
52,Релиф Ультра № 12 суппозит. ректал.,15-Apr-22,4506,79,https://st.europharma.kz/cache/product/11523/160x160_5f0bf27e3e176.png,1
53,"Фарестон 20 мг, №30, табл.",15-Apr-22,9241,14,https://st.europharma.kz/cache/product/12291/160x160_5f114e65a50ef.png,1
54,Аксацип (Ципрофлоксацин) 100 мл,15-Apr-22,1119,85,https://st.europharma.kz/cache/product/27907/160x160_5fb4e50a19772.jpg,1
55,Ducray крем-концентрат Kertyol P S O картон 100 мл,15-Apr-22,6162,38,https://st.europharma.kz/cache/product/36099/160x160_6142c8c6822cf.jpg,1
56,Мезим форте 1000 мг № 20 табл покр кишечнораст оболочкой,15-Apr-22,2051,48,https://st.europharma.kz/cache/product/260/160x160_5f056624cceb3.png,1
57,Контролок Контрол 20 мг № 14 табл покр кишечнораст оболочкой,15-Apr-22,2111,58,https://st.europharma.kz/cache/product/3332/160x160_5f03cf7659b95.png,1
58,Сиалис 20 мг № 1 табл,15-Apr-22,9115,48,https://st.europharma.kz/cache/product/3844/160x160_1233.jpeg,1
